role,p,mor,ks,n,val
Liar,0.5,17,9,100,9.00000000730467
Liar,0.5,17,10,100,9.99999999713241
Liar,0.5,18,0,100,0.06457249867852165
Liar,0.5,18,1,100,1.0129384661739103
Liar,0.5,18,2,100,2.002544789386473
Liar,0.5,18,3,100,3.000490826840808
Liar,0.5,18,4,100,4.000092310445565
Liar,0.5,18,5,100,5.000016756419395
Liar,0.5,18,6,100,6.000002881805805
Liar,0.5,18,7,100,7.0000004517804
Liar,0.5,18,8,100,8.000000058134917
Liar,0.5,18,9,100,9.00000000345048
Liar,0.5,18,10,100,9.999999998645446
Liar,0.5,19,0,100,0.030613287616726305
Liar,0.5,19,1,100,1.0061166914855504
Liar,0.5,19,2,100,2.001202292586859
Liar,0.5,19,3,100,3.0002318596126196
Liar,0.5,19,4,100,4.000043604762166
Liar,0.5,19,5,100,5.00000791518802
Liar,0.5,19,6,100,6.00000136126928
Liar,0.5,19,7,100,7.00000021340597
Liar,0.5,19,8,100,8.00000002746099
Liar,0.5,19,9,100,9.000000001629894
Liar,0.5,19,10,100,9.999999999360154
Liar,0.5,20,0,100,0.014485683513110404
Liar,0.5,20,1,100,1.002890435860725
Liar,0.5,20,2,100,2.0005679717272167
Liar,0.5,20,3,100,3.0001095248301395
Liar,0.5,20,4,100,4.000020597519373
Liar,0.5,20,5,100,5.000003738873639
Liar,0.5,20,6,100,6.000000643018213
